# PostgreSQL keyword inventory and reservation classes.
#
# @generated-source: provenance data for the keyword codegen (ADR-0004, ADR-0015).
# DO derive the Rust tables from this file via `cargo run -p squonk-sourcegen`;
# do NOT hand-edit the generated `dialect/keyword/generated.rs`.
#
# Source: PostgreSQL 17 src/include/parser/kwlist.h (PostgreSQL License), the
# objective list every PostgreSQL release ships. Each PG_KEYWORD row tags a
# keyword with one of four reservation classes:
#   unreserved      - usable as any identifier (ColId, ColLabel, func/type name)
#   col_name        - usable as a column/identifier, restricted as a function/type name
#   type_func_name  - usable as a function/type name, restricted as a bare ColId
#   reserved        - never a plain identifier
# The per-position identifier gates (prod-keyword-position-reserved-sets) consume
# these classes directly: a ColId rejects `type_func_name ∪ reserved`, a type name
# rejects `col_name ∪ reserved`, a function name rejects only `reserved`, and a bare
# label rejects the AS_LABEL set (see postgres_as_label.csv).
#
# `end-exec` is intentionally omitted: it is not a lexable single word.
#
# Format: one `keyword,class` per line, sorted, lower case.
procedures,unreserved
program,unreserved
properties,unreserved
property,unreserved
publication,unreserved
quote,unreserved
quotes,unreserved
range,unreserved
read,unreserved
real,col_name
reassign,unreserved
recursive,unreserved
ref,unreserved
references,reserved
referencing,unreserved
refresh,unreserved
reindex,unreserved
relationship,unreserved
relative,unreserved
release,unreserved
rename,unreserved
repack,unreserved
repeatable,unreserved
replace,unreserved
replica,unreserved
reset,unreserved
respect,unreserved
restart,unreserved
restrict,unreserved
return,unreserved
returning,reserved
returns,unreserved
revoke,unreserved
right,type_func_name
role,unreserved
rollback,unreserved
rollup,unreserved
routine,unreserved
routines,unreserved
row,col_name
rows,unreserved
rule,unreserved
savepoint,unreserved
scalar,unreserved
schema,unreserved
schemas,unreserved
scroll,unreserved
search,unreserved
second,unreserved
security,unreserved
select,reserved
sequence,unreserved
sequences,unreserved
serializable,unreserved
server,unreserved
session,unreserved
session_user,reserved
set,unreserved
setof,col_name
sets,unreserved
share,unreserved
show,unreserved
similar,type_func_name
simple,unreserved
skip,unreserved
smallint,col_name
snapshot,unreserved
some,reserved
source,unreserved
split,unreserved
sql,unreserved
stable,unreserved
standalone,unreserved
start,unreserved
statement,unreserved
statistics,unreserved
stdin,unreserved
stdout,unreserved
storage,unreserved
stored,unreserved
strict,unreserved
string,unreserved
strip,unreserved
subscription,unreserved
substring,col_name
support,unreserved
symmetric,reserved
sysid,unreserved
system,unreserved
system_user,reserved
table,reserved
tables,unreserved
tablesample,type_func_name
tablespace,unreserved
target,unreserved
temp,unreserved
template,unreserved
temporary,unreserved
text,unreserved
then,reserved
ties,unreserved
time,col_name
timestamp,col_name
to,reserved
trailing,reserved
transaction,unreserved
transform,unreserved
treat,col_name
trigger,unreserved
trim,col_name
true,reserved
truncate,unreserved
trusted,unreserved
type,unreserved
types,unreserved
uescape,unreserved
unbounded,unreserved
uncommitted,unreserved
unconditional,unreserved
unencrypted,unreserved
union,reserved
unique,reserved
unknown,unreserved
unlisten,unreserved
unlogged,unreserved
until,unreserved
update,unreserved
user,reserved
using,reserved
vacuum,unreserved
valid,unreserved
validate,unreserved
validator,unreserved
value,unreserved
values,col_name
varchar,col_name
variadic,reserved
varying,unreserved
verbose,type_func_name
version,unreserved
vertex,unreserved
view,unreserved
views,unreserved
virtual,unreserved
volatile,unreserved
wait,unreserved
when,reserved
where,reserved
whitespace,unreserved
window,reserved
with,reserved
within,unreserved
without,unreserved
work,unreserved
wrapper,unreserved
write,unreserved
xml,unreserved
xmlattributes,col_name
xmlconcat,col_name
xmlelement,col_name
xmlexists,col_name
xmlforest,col_name
xmlnamespaces,col_name
xmlparse,col_name
xmlpi,col_name
xmlroot,col_name
xmlserialize,col_name
xmltable,col_name
year,unreserved
yes,unreserved
zone,unreserved
